0000 |0149-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-07|00FF-04|00FF-00|00FF-00|00FF-07|00FF-03|00FF-03|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|
0014 |00FF-00|0149-00|0149-00|0149-00|014C-00|0114-07|0113-07|0118-00|010C-03|013C-00|0115-03|0115-08|0115-08|0117-06|0118-05|0127-04|010D-01|010C-00|010C-09|0127-04|010D-01|010C-03|0118-04|0118-05|0113-04|0113-02|0113-02|0113-09|0113-01|0113-0C|0113-0B|0113-07|0113-08|0113-02|0113-0C|0113-04|0113-01|0113-09|0118-02|0113-03|011A-00|011C-00|011A-00|011C-00|0113-03|0113-02|0113-00|0113-0B|0113-01|0113-01|0113-03|0113-08|0113-07|0113-07|0113-0A|0113-03|0113-09|0113-0B|0113-05|0113-04|0113-08|0113-01|014D-00|018E-00|018E-03|0154-00|0183-00|0183-01|0181-01|0181-00|018E-00|014F-00|014C-00|010D-06|010C-05|010C-03|010C-05|010C-01|010C-0B|010C-06|
0015 |00FF-00|0149-00|0149-00|0149-00|015B-00|0114-02|0113-07|0118-01|010C-02|0127-04|0113-03|0119-02|0119-05|0119-05|011C-00|0181-01|0110-0A|010C-01|010C-03|013C-00|010D-08|010C-00|0118-00|0118-02|0113-0A|0113-00|0113-00|0113-06|0113-03|0113-0C|0113-0A|0113-02|0113-03|0113-06|0113-00|0113-00|0113-02|0113-06|0120-00|011E-00|011C-00|011A-00|011C-00|0113-04|0113-05|0113-09|0113-05|0113-05|0113-08|0113-0C|0113-03|0113-0B|0113-08|0113-02|0113-0C|0113-03|0113-07|0113-08|0113-03|0113-09|0113-01|0113-06|0153-00|018E-01|018E-04|0157-00|0158-00|0183-00|0183-01|0181-01|0181-00|0151-00|015B-00|010D-0B|010C-09|010C-02|010C-05|010C-0B|010C-0A|010C-0B|
0016 |00FF-00|0149-00|0149-00|0149-00|015C-00|0114-03|0118-00|0118-01|010C-06|013D-00|0123-03|0123-03|0123-01|012A-00|0183-01|0113-06|010C-03|010C-09|010C-08|0127-04|010D-09|010C-0B|0118-04|0113-0B|0118-03|0113-01|0113-03|0113-0B|0113-02|0113-00|0113-00|0113-01|0113-09|0113-0B|0113-09|0113-0B|0113-03|0113-0A|0120-00|011C-00|011A-00|011C-00|0113-0B|0113-04|0113-04|0113-06|0113-02|0113-0B|0113-0A|0113-0B|0113-07|0113-04|0113-05|0113-0B|0113-04|0113-00|0113-01|0113-06|0113-08|0113-05|0113-0A|0113-00|0151-00|018E-02|018E-05|018F-00|018F-02|0157-00|0183-00|0183-01|0181-01|0181-00|015C-00|010D-05|010C-04|010C-00|010C-00|010C-06|010C-07|010C-06|
0017 |00FF-00|0149-00|0149-00|0149-00|0150-00|0114-04|0118-01|0113-09|010C-07|013C-00|010F-0A|010E-08|010E-07|010E-04|0110-08|010C-05|010C-0B|010C-03|010C-0A|0127-04|010D-01|010C-03|0118-00|0113-00|0118-02|0113-03|0113-01|0113-0C|0113-02|0113-08|0118-05|0113-01|0113-03|0113-05|0113-05|011A-00|011E-00|0119-04|011F-00|011E-00|011C-00|0113-09|0113-0B|0113-01|0113-00|0113-03|0113-09|0113-0B|0113-01|0113-09|0113-08|0113-03|0113-03|0113-03|0113-08|0113-0B|0113-02|0113-06|0113-06|0113-07|0113-04|0113-04|014D-00|018E-00|018E-03|018F-01|018F-03|018F-04|0158-00|0183-00|0183-01|0181-01|0150-00|010D-03|010C-04|010C-01|010C-01|010C-07|010C-0A|010C-02|
0018 |00FF-00|0149-00|0149-00|0149-00|018A-00|0114-01|0118-04|0113-02|010C-09|0127-04|010D-01|010C-0B|010C-03|010C-0B|010C-04|010C-09|010C-08|010C-0B|0140-00|0185-01|0110-0B|010C-03|0118-05|0113-0B|0118-05|0113-03|0113-03|0113-09|0113-07|0113-07|0118-03|0113-02|0113-08|0113-06|011A-00|011C-00|0120-00|011C-00|011A-00|011C-00|0113-0A|0113-01|0113-04|0113-00|0113-02|0113-0A|0113-01|0113-04|0113-05|0113-00|0113-02|0113-09|0113-02|0113-01|0113-09|0113-03|0113-0A|0113-05|0113-0A|0113-08|0113-02|0113-00|014B-00|018E-01|018E-04|018F-00|018F-03|018F-05|0156-00|0186-00|0114-00|0113-00|014E-00|010D-07|010C-0A|010C-00|010C-04|010C-0B|010C-05|010C-07|
0019 |00FF-00|0149-00|0149-00|0149-00|014A-00|0114-05|0118-01|0113-05|010C-05|013C-00|010D-08|010C-0B|010C-01|010C-03|010C-0A|010C-05|010C-0B|010C-06|010C-07|0140-00|010C-05|010C-07|0118-03|0118-00|0113-01|0113-05|0113-06|0113-0C|0113-05|0113-09|0118-03|0113-07|0113-0A|011A-00|011C-00|011A-00|011C-00|011A-00|011C-00|0113-07|0113-0B|0113-01|0113-05|0113-02|0113-05|0113-06|0113-09|0113-0C|0113-03|0113-01|0113-0C|0113-03|0113-07|0113-01|0113-05|0113-03|0113-0A|0113-09|0113-0C|0113-08|0113-09|0113-08|014D-00|018E-02|018E-05|018F-01|018F-03|0159-00|0186-00|010F-06|0117-02|0180-00|014A-00|010D-02|010C-0B|010C-04|010C-09|010C-0A|010C-02|010C-04|
0020 |00FF-00|0149-00|0149-00|0149-00|014C-00|0114-0B|0118-00|0118-00|010C-0B|013A-00|0125-00|0125-00|0125-02|0125-00|0125-01|0125-03|0125-01|0129-00|0187-01|010C-0B|0140-00|0102-00|0122-00|0122-00|0122-00|0113-0C|0113-00|0113-09|0113-00|0113-0A|0118-00|0113-03|011A-00|011C-00|011A-00|011C-00|011A-00|011C-00|0113-00|0113-04|0113-05|0113-0A|0113-0C|0113-05|0113-06|0113-0C|0113-06|0113-08|0113-01|0113-09|0113-02|0113-02|0113-08|0113-04|0113-03|0113-08|0113-0A|0113-06|0113-0C|0113-06|0113-00|0113-0C|015D-00|015A-00|0158-00|015E-00|015E-00|0186-00|010F-00|0110-08|0180-00|0153-00|014C-00|010D-02|010C-08|010C-0B|010C-05|010C-09|010C-06|010C-04|
0021 |00FF-00|0149-00|0149-00|0149-00|015B-00|0114-04|0118-02|0118-04|010C-03|0185-01|010E-0A|010E-01|010E-0A|010E-05|010E-05|010E-02|010E-09|010E-02|0110-04|010C-08|0100-04|0140-00|0122-00|0122-00|0122-00|0113-05|0113-0C|0113-08|0113-0A|0113-03|0118-02|011A-00|011C-00|011A-00|011C-00|011A-00|011C-00|0118-04|0113-05|0113-07|0113-0B|0113-02|0113-04|0113-03|0113-04|0113-05|0113-0A|0113-0C|0113-07|0113-0B|0113-0A|0113-07|0113-00|0113-03|0113-05|0113-00|0113-04|0113-0B|0113-06|0113-06|0113-05|0113-0B|018B-00|010F-07|010E-0B|010E-04|010E-08|010E-04|0110-07|0180-00|0151-00|0149-00|015B-00|010D-03|010C-06|010C-0B|010C-0B|010C-03|010C-04|010C-03|
0022 |00FF-00|0149-00|0149-00|0149-00|015C-00|0114-09|0113-0B|011B-00|0119-06|0119-05|0113-0B|0113-09|0113-05|0113-00|0119-00|0119-03|0119-03|0119-06|0119-06|0119-01|0122-00|0122-00|0122-00|0122-00|0122-00|0119-00|0119-03|0119-05|0119-05|0119-01|0122-00|0122-00|011E-00|011C-00|011A-00|011C-00|0119-03|0122-00|0119-02|0113-07|0113-00|0119-07|0119-00|0113-05|0113-0C|0113-01|0113-0A|0113-03|0113-08|0113-06|0113-00|0113-0C|010C-08|010C-08|010C-07|010C-04|010C-03|010C-01|010C-0B|010C-03|010C-03|010C-07|0154-00|015A-00|0159-00|015E-00|0186-00|0112-05|0185-00|0153-00|0149-00|0149-00|015C-00|010D-09|010C-08|010C-02|010C-01|010C-05|010C-0B|010C-00|
0023 |00FF-00|0149-00|0149-00|0149-00|0150-00|0114-07|0118-01|0113-02|0119-03|0119-00|0119-04|0119-01|0119-06|0119-02|0113-06|0113-09|0113-04|0113-09|0113-04|0113-06|0122-00|0122-00|0122-00|0148-00|0122-00|010C-03|0113-02|0113-07|0113-01|010C-02|0120-00|0122-00|0122-00|0119-02|011C-00|010C-05|0113-08|0120-00|0119-01|0113-04|0119-07|0119-05|0119-05|0119-00|0113-03|0113-03|0113-0B|0113-02|0113-05|0113-01|0113-07|0113-0A|010C-05|010C-00|010C-03|010C-0A|010C-05|010C-01|010C-00|010C-07|010C-01|0184-00|014B-00|0149-00|015A-00|0186-00|010F-03|0110-01|0181-01|0181-00|0151-00|0149-00|0154-00|0183-00|0183-01|0113-02|0113-03|0113-08|0113-06|0113-09|
0024 |00FF-00|0149-00|0149-00|0149-00|014E-00|0114-02|0120-00|0119-07|0119-04|0119-02|0113-06|0113-03|0113-02|0113-09|0113-0B|0113-09|0119-03|0119-02|0119-00|0113-07|0122-00|0122-00|0122-00|0122-00|010B-00|0144-00|0144-00|013F-08|0144-00|013F-09|010B-00|011F-00|011C-00|010C-04|010C-07|0113-00|010C-04|0118-05|0113-09|010C-07|010C-07|010C-02|010C-0B|010C-05|010C-01|010C-07|010C-0B|010C-0B|010C-03|0113-04|0113-03|0113-03|010C-04|010C-02|010C-0A|010C-01|010C-04|010C-02|010C-09|010C-0A|0184-00|014D-00|0149-00|0159-00|0186-00|010F-01|0110-0A|00FD-04|0113-00|0181-01|0181-00|0153-00|0149-00|0158-00|0183-00|0183-01|0113-07|0113-0A|0113-01|0113-07|
0025 |00FF-00|0149-00|0149-00|0149-00|014A-00|0114-03|0118-03|0113-0B|0113-02|0113-09|0113-04|0113-08|0113-01|0113-06|0113-06|0113-08|0113-06|0113-07|0113-02|0113-09|0113-05|0113-02|0118-02|010C-06|0146-00|0105-00|013E-00|0118-05|013E-06|010C-04|013E-0A|010C-01|010C-08|010C-0B|0113-08|010C-09|010C-08|0113-08|0113-06|010C-00|0140-00|013F-05|013F-03|0143-00|010C-0B|010C-09|010C-0A|010C-06|010C-02|0113-09|0113-0C|0113-03|010C-05|010C-04|010C-07|010C-0B|010C-06|010C-02|010C-09|0184-00|0151-00|0149-00|015A-00|0186-00|010F-03|0110-06|010C-02|00FD-04|0113-06|0113-0B|0181-01|0181-00|0151-00|0149-00|015A-00|0183-00|0183-01|0113-07|0113-0C|0113-04|
0026 |00FF-00|0149-00|0149-00|0149-00|014C-00|0114-04|0118-04|0113-0B|0113-02|0113-09|0113-04|0113-08|0113-01|0113-06|0113-02|0113-07|0113-03|0113-0B|0113-03|0113-00|0113-06|0113-02|0118-03|0113-05|0146-00|013F-06|0105-00|0118-02|013E-00|00FD-05|013E-03|0113-06|0113-08|0113-0B|0113-03|0113-01|0113-09|0113-06|0113-05|010C-07|013E-04|011A-00|011D-00|013E-01|010C-00|0113-01|0113-05|0113-0C|0113-03|0113-00|0113-03|0113-00|010C-0B|010C-01|010C-02|010C-0A|010C-00|010C-07|0184-00|0153-00|0149-00|0157-00|0186-00|010F-04|0110-0B|010C-01|010C-06|00FD-00|0113-03|0113-07|0113-03|0181-01|0181-00|0153-00|0149-00|0155-00|0183-00|0183-01|0113-08|0113-08|
0027 |00FF-00|0149-00|0149-00|0149-00|015B-00|0114-01|0118-04|0113-0B|0113-07|0113-0A|0113-05|0113-04|0113-09|0113-0B|0113-0B|0113-01|0113-0A|0113-09|0113-07|0113-08|0113-06|0113-02|0118-04|0113-07|013E-02|0119-01|0119-01|0113-08|013E-03|00FD-00|0146-00|013F-06|013F-05|013F-03|013F-07|013F-0A|013F-03|0119-06|0119-05|00FE-03|010A-00|011B-00|011C-00|013E-07|010C-0A|0113-09|0113-07|0113-0A|0113-0C|0113-06|0113-02|0113-02|010C-05|010C-07|010C-00|010C-0A|010C-03|0184-00|014D-00|0149-00|0156-00|0186-00|010F-00|0110-0B|010C-05|010C-0B|010C-09|00FD-05|0113-03|0113-06|0113-04|0113-03|0181-01|0181-00|014D-00|0149-00|015A-00|0183-00|0183-01|0113-09|
0028 |00FF-00|0149-00|0149-00|0149-00|015C-00|0114-05|013E-08|0113-05|0113-06|0113-0B|0113-03|0113-02|0113-05|0113-01|0113-05|0113-0A|0113-03|0113-0C|0113-05|0113-03|0113-03|0113-03|0118-05|0113-06|0146-00|013F-03|013F-09|013F-02|0105-00|010C-02|013E-02|0113-00|0113-05|0113-03|0113-00|0113-03|0113-00|0113-0A|0113-0A|010C-04|0141-00|013F-03|013F-05|0142-00|010C-0B|0113-04|0113-03|0113-04|0113-00|0113-0C|0113-02|0113-0A|010C-08|010C-04|010C-0B|010C-08|0184-00|0151-00|0149-00|0155-00|0186-00|010F-06|0110-03|010C-01|010C-05|010C-00|010C-09|00FD-05|0113-01|0113-0B|0113-04|0113-0A|0113-06|0181-01|0181-00|014F-00|0149-00|0157-00|0183-00|0183-01|
0029 |00FF-00|0149-00|0149-00|0157-00|0186-00|0114-0B|013E-03|0113-0A|0113-08|0113-0B|0113-09|0113-06|0113-02|0113-01|0113-07|0113-06|0113-07|0113-07|0113-0C|0113-0A|0113-04|0113-03|0118-03|010C-03|013E-06|010C-03|00FE-05|00FE-05|010C-0B|010C-09|013E-0B|010C-08|010C-00|010C-09|010C-06|010C-02|010C-03|0113-08|0113-07|010C-09|010C-05|010C-0A|010C-0A|010C-03|010C-08|0113-02|0113-0B|0113-07|0113-0A|0113-06|0113-00|0113-03|010C-04|010C-00|010C-05|0184-00|014B-00|0149-00|015D-00|0186-00|010F-08|0110-00|010C-05|010C-08|010C-01|010C-0A|010C-05|00FD-00|0113-07|0113-07|0113-01|0113-0C|0113-04|0113-0A|0181-01|0181-00|014D-00|0149-00|0159-00|0183-00|
0030 |00FF-00|0149-00|015A-00|0186-00|010F-0A|0117-0C|0146-00|00FE-01|0106-00|0113-05|0113-0B|0113-00|0113-05|0113-02|0113-0A|0113-06|0113-03|0119-07|0119-04|0119-02|0119-03|0119-07|011E-00|011E-00|010B-00|013F-05|013F-0A|0144-00|013F-08|013F-00|010B-00|011E-00|0119-07|0119-05|0119-04|0119-00|0119-03|0119-06|0113-06|010C-06|010C-03|0113-0B|0113-04|0113-03|0113-0C|0113-0C|0113-07|0113-0C|0113-04|0113-0C|0113-09|0113-06|010C-0B|010C-0A|0184-00|014D-00|0149-00|0158-00|0186-00|010F-04|0110-0A|010C-05|010C-05|010C-0B|010C-01|010C-00|010C-08|00FD-02|0113-0B|0113-09|0113-09|0113-0C|0113-03|0113-06|0113-02|0181-01|0181-00|0153-00|0149-00|0158-00|
0031 |00FF-00|0149-00|014E-00|010F-09|0110-0A|0113-05|00FD-01|0113-06|00FD-03|0113-0A|0113-03|0113-01|0113-08|0113-00|0113-0A|0113-02|0113-0A|0113-08|0113-0B|0113-03|0113-08|011A-00|0122-00|0122-00|0121-00|010C-06|0113-04|013E-05|0113-0A|010C-03|0120-00|0122-00|011D-00|010C-08|010C-0B|010C-09|010C-00|0113-01|0113-09|010C-00|010C-08|0113-03|0113-0A|0113-08|0113-07|0113-0A|0113-0B|0113-04|0113-07|0113-03|0113-07|0113-03|010C-00|010C-0A|014D-00|0149-00|0154-00|0186-00|010F-07|0110-05|010C-00|010C-06|010C-0A|010C-09|010C-02|010C-0A|010C-09|00FD-01|0113-05|0113-05|0113-00|0113-04|0113-01|0113-08|0113-06|0113-07|0181-01|0181-00|0151-00|0149-00|
